Order_Source,Order_ID,Order_Date,Customer_ID,Customer_Name,Address,ZIP,Tel,Product_ID,Product_Price,Quantity,Promotion,TotalPrice,Unnamed: 13,Unnamed: 14,Unnamed: 15,recency,frequency,monetary,r_score,f_score,m_score,RFMScore,Segment,cluster
Call,1570,1/5/2020 17:13,75859,Jakeem Byers,8720 Cursus Ave,28222,013-447-7884,THT0007,370,3,No,1110.0,,,,874.0,1,1110,1,1,2,112,At Risk,3
Facebook,3194,1/5/2020 22:04,43926,Megan Wolf,"P.O. Box 313, 6136 Vulputate Ave",49483,030-686-5892,THT0014,510,4,Yes,1734.0,,,,874.0,1,2040,1,1,5,115,At Risk,3
Call,3978,1/8/2020 19:27,65206,Ahmed Mendoza,3356 Auctor. St.,47445,057-883-3390,THT0017,570,3,Yes,1453.5,,,,871.0,1,1710,1,1,4,114,At Risk,3
Lazada,3550,2/9/2020 10:20,44292,Travis Nichols,7926 Porttitor St.,84036,066-986-7878,THT0010,430,4,No,1720.0,,,,839.0,1,1720,1,1,4,114,At Risk,3
Shopee,6847,2/12/2020 22:04,27638,Shad Figueroa,5409 Aliquam Rd.,62733,044-041-3608,THT0011,450,4,Yes,1530.0,,,,836.0,1,1800,1,1,4,114,At Risk,3
Lazada,4357,3/10/2020 3:22,10627,Jeremy Padilla,Ap #636-7397 Senectus Street,36205,083-521-9783,THT0005,330,2,No,660.0,,,,809.0,1,660,1,1,1,111,At Risk,0
Facebook,8633,4/8/2020 10:28,29648,Oscar Baxter,"P.O. Box 853, 9433 Orci, Av.",56192,043-814-1175,THT0003,290,5,Yes,1232.5,,,,780.0,1,1450,1,1,3,113,At Risk,3
Shopee,4602,4/12/2020 8:56,27669,Jameson Barber,318-5704 Lorem Street,31555,066-428-9306,THT0011,450,3,Yes,1147.5,,,,776.0,1,1350,1,1,3,113,At Risk,3
Facebook,7110,5/10/2020 13:38,22233,Katell Mcmillan,"Ap #420-3653 Vel, Av.",85435,033-929-8573,THT0019,610,2,No,1220.0,,,,748.0,1,1220,1,1,3,113,At Risk,3
Facebook,9055,6/8/2020 16:53,15443,Edan Hoover,523-4009 Molestie Avenue,47815,038-461-7364,THT0016,550,4,Yes,1870.0,,,,719.0,1,2200,1,1,5,115,At Risk,3
Facebook,4199,6/9/2020 5:11,30769,Hayes Keith,"P.O. Box 347, 823 Suspendisse St.",52368,017-473-8603,THT0011,450,3,No,1350.0,,,,718.0,1,1350,1,1,3,113,At Risk,3
Facebook,8723,6/11/2020 11:51,48681,TaShya Espinoza,Ap #647-5118 Euismod St.,87565,082-971-3516,THT0006,350,2,Yes,595.0,,,,716.0,1,700,1,1,1,111,At Risk,0
Facebook,1207,7/7/2020 9:37,17314,Alfreda Justice,5343 Magna. Street,81731,040-386-9586,THT0015,530,1,No,530.0,,,,690.0,1,530,1,1,1,111,At Risk,0
Shopee,9136,7/8/2020 9:05,92292,Levi George,"957-507 Vitae, St.",95606,022-434-6453,THT0002,270,2,Yes,459.0,,,,689.0,1,540,1,1,1,111,At Risk,0
Shopee,5834,7/9/2020 16:57,50497,Quon Christensen,"P.O. Box 939, 3069 Quam. Av.",36547,022-353-4628,THT0012,470,4,No,1880.0,,,,688.0,1,1880,1,1,4,114,At Risk,3
Call,5215,8/10/2020 16:12,82246,Cairo Velazquez,275-6384 Mi Avenue,22777,028-364-7182,THT0011,450,4,No,1800.0,,,,656.0,1,1800,1,1,4,114,At Risk,3
